Object Identifier,Syntax,Owner,Reference
1.3.6.1.1.16.1,UUID,IESG,[RFC4530]
1.3.6.1.4.1.1466.115.121.1.3,Attribute Type Description,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.6,Bit String,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.7,Boolean,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.11,Country String,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.12,DN,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.14,Delivery Method,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.15,Directory String,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.16,DIT Content Rule Description,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.17,DIT Structure Rule Description,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.21,Enhanced Guide,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.22,Facsimile Telephone Number,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.23,Fax,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.24,Generalized Time,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.25,Guide,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.26,IA5 String,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.27,Integer,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.28,JPEG,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.30,Matching Rule Description,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.31,Matching Rule Use Description,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.34,Name And Optional UID,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.35,Name Form Description,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.36,Numeric String,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.37,Object Class Description,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.38,OID,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.39,Other Mailbox,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.40,Octet String,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.41,Postal Address,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.44,Printable String,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.50,Telephone Number,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.51,Teletex Terminal Identifier,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.52,Telex Number,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.53,UTC Time,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.54,LDAP Syntax Description,IESG,[RFC4517]
1.3.6.1.4.1.1466.115.121.1.58,Substring Assertion,IESG,[RFC4517]
